Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Kansas,US,2020-05-09 02:32:39,38.5266,-96.7265,6667,168,332.0,6167.0,20,273.40712769552283,47708.0,608.0,2.519874006299685,84000020,USA,1956.458264301485,9.11954402279886
Kentucky,US,2020-05-09 02:32:39,37.6681,-84.6701,6288,298,2177.0,3813.0,21,183.68225073854111,81401.0,1684.0,4.739185750636132,84000021,USA,2377.8496966234075,26.78117048346056
Louisiana,US,2020-05-09 02:32:39,31.1695,-91.8678,30855,2227,20316.0,8312.0,22,671.1597719166132,202416.0,,7.21763085399449,84000022,USA,4402.964718595791,
Maine,US,2020-05-09 02:32:39,44.6939,-69.3819,1374,63,836.0,475.0,23,117.03517699228114,23466.0,194.0,4.585152838427947,84000023,USA,1998.7972804227575,14.119359534206696
Maryland,US,2020-05-09 02:32:39,39.0639,-76.8021,30485,1560,2041.0,26884.0,24,512.9275061897066,152187.0,5811.0,5.11727078891258,84000024,USA,2560.633045251529,19.06183368869936
Massachusetts,US,2020-05-09 02:32:39,42.2302,-71.5301,75333,4702,,70631.0,25,1097.5451981796598,366023.0,7434.0,6.241620538143973,84000025,USA,5332.6800482300405,9.868185257456894
Michigan,US,2020-05-09 02:32:39,43.3266,-84.5361,46386,4399,15659.0,26328.0,26,582.2077580256898,260253.0,,9.483464838528867,84000026,USA,3266.5311872000148,
Minnesota,US,2020-05-09 02:32:39,45.6945,-93.9002,10088,534,5697.0,3857.0,27,203.94440776266438,101270.0,1549.0,5.2934179222839015,84000027,USA,2047.3285263803546,15.354877081681206
Mississippi,US,2020-05-09 02:32:39,32.7416,-89.6787,9090,409,4421.0,4260.0,28,313.96729628219884,81191.0,1478.0,4.499449944994501,84000028,USA,2804.325495318813,16.25962596259626
Missouri,US,2020-05-09 02:32:39,38.4561,-92.2884,9733,483,,9250.0,29,166.10757039561355,108721.0,,4.962498715709441,84000029,USA,1855.4794165192127,
